feature,importance
gw_lag_1,0.20760801
gw_lag_2,0.17881276
gw_lag_3,0.1087438
weighted_groundwater_idw,0.08004552
average_groundwater_within_10km,0.07772824
nearest_piezometer_groundwater,0.062577724
distance_to_stream_km,0.049581993
distance_to_tank_km,0.036283556
rainfall_3m_sum,0.03492694
distance_to_canal_km,0.03318016
rainfall_anomaly,0.029989855
pumping_data,0.027716754
aquifer_type_enc,0.023321478
nearby_groundwater_std_10km,0.021791335
nearby_piezometer_count_10km,0.014356259
nearest_piezometer_distance_km,0.013335667
rainfall,0.0
rainfall_6m_sum,0.0
lulc_class_enc,0.0
lag_availability,0.0
