split,idw_rmse,xgb_rmse,xgb_rmse_improvement_pct_vs_idw
random_split,1.294358003877307,1.1991950558801812,7.352135013038204
random_split_region_breakdown,,0.8802344258051811,
random_split_region_breakdown,,1.303746302339557,
random_split_region_breakdown,,0.8609939865480861,
random_split_region_breakdown,,2.1906649014229043,
random_split_region_breakdown,,1.611747783081449,
random_split_region_breakdown,,1.31259493114879,
random_split_region_breakdown,,1.2025789101479771,
spatial_region_holdout,4.972639149604297,17.082420974012237,-243.52826457096907
spatial_region_holdout,,17.082420974012237,
temporal_holdout_2024,1.7836223971122,1.6799815933278266,5.810691991319162
temporal_holdout_2024,,0.778607284132511,
temporal_holdout_2024,,2.7185989990548416,
temporal_holdout_2024,,1.0576807316378618,
temporal_holdout_2024,,1.6159817008075577,
temporal_holdout_2024,,0.7601680929837943,
temporal_holdout_2024,,1.7506519643724037,
temporal_holdout_2024,,1.6702327902749794,
